id,score,term,topic,dropdown
305,32.87202366108262,számla,5,saliency (bigram)
306,58.93109217769845,számla,6,saliency (bigram)
307,24.157676798795343,számla,7,saliency (bigram)
308,7.3348929684807525,számla,8,saliency (bigram)
309,205.02165585713223,számla,9,saliency (bigram)
310,54.45454045826739,számla,10,saliency (bigram)
311,133.15502035316663,számla,11,saliency (bigram)
312,18.59444523683646,számla,12,saliency (bigram)
313,17.33983196460918,számla,13,saliency (bigram)
314,10.320734517604373,számla,14,saliency (bigram)
315,39.534771712217896,számla,15,saliency (bigram)
316,20.402600415011257,számla,16,saliency (bigram)
317,12.225761896611306,számla,17,saliency (bigram)
318,9.60200439947606,számla,18,saliency (bigram)
319,58.576460242955235,számla,19,saliency (bigram)
320,19.55580101733544,számla,20,saliency (bigram)
321,20.596511670798588,számla,21,saliency (bigram)
322,68.33390515190457,számla,22,saliency (bigram)
323,14.276671040843423,számla,23,saliency (bigram)
324,6.543825036777761,számla,24,saliency (bigram)
325,26.98427507283442,beruházás,0,saliency (bigram)
326,20.01829607226707,beruházás,1,saliency (bigram)
327,27.126865080355206,beruházás,2,saliency (bigram)
328,54.18471751730505,beruházás,3,saliency (bigram)
329,50.80752006113366,beruházás,4,saliency (bigram)
330,25.04678088051313,beruházás,5,saliency (bigram)
331,2.5483383911362876,beruházás,6,saliency (bigram)
332,17.88452998082204,beruházás,7,saliency (bigram)
333,138.34364548763983,beruházás,8,saliency (bigram)
334,8.918224973249908,beruházás,9,saliency (bigram)
335,4.977980218154678,beruházás,10,saliency (bigram)
336,74.14458028858608,beruházás,11,saliency (bigram)
337,121.09729597668368,beruházás,12,saliency (bigram)
338,34.49420884901242,beruházás,13,saliency (bigram)
339,23.343832926390508,beruházás,14,saliency (bigram)
340,29.411635970737105,beruházás,15,saliency (bigram)
341,35.24945061128127,beruházás,16,saliency (bigram)
342,4.990176478295572,beruházás,17,saliency (bigram)
343,84.22370760926347,beruházás,18,saliency (bigram)
344,7.675776324625865,beruházás,19,saliency (bigram)
345,17.433301396306117,beruházás,20,saliency (bigram)
346,8.749670914177521,beruházás,21,saliency (bigram)
347,11.42066364614727,beruházás,22,saliency (bigram)
348,56.76705535412494,beruházás,23,saliency (bigram)
349,27.196010617730472,beruházás,24,saliency (bigram)
350,56.77408559436994,rendőrség,0,saliency (bigram)
351,146.0875517886367,rendőrség,1,saliency (bigram)
352,8.55754886163507,rendőrség,2,saliency (bigram)
353,20.217115212309153,rendőrség,3,saliency (bigram)
354,1.8373160028884676,rendőrség,4,saliency (bigram)
355,19.26816864658013,rendőrség,5,saliency (bigram)
356,39.88386846832311,rendőrség,6,saliency (bigram)
357,14.815705614526083,rendőrség,7,saliency (bigram)
358,1.1071196194493633,rendőrség,8,saliency (bigram)
359,7.20201281920278,rendőrség,9,saliency (bigram)
360,66.43772256689121,rendőrség,10,saliency (bigram)
361,24.855460283964064,rendőrség,11,saliency (bigram)
362,13.869617035997972,rendőrség,12,saliency (bigram)
363,18.19408039459967,rendőrség,13,saliency (bigram)
364,27.500114647843926,rendőrség,14,saliency (bigram)
365,21.739173942248964,rendőrség,15,saliency (bigram)
366,43.66696050383095,rendőrség,16,saliency (bigram)
367,4.128791758501995,rendőrség,17,saliency (bigram)
368,22.455214423720097,rendőrség,18,saliency (bigram)
369,56.33016921103244,rendőrség,19,saliency (bigram)
370,13.1781112652737,rendőrség,20,saliency (bigram)
371,60.650279093984146,rendőrség,21,saliency (bigram)
372,14.296191544787707,rendőrség,22,saliency (bigram)
373,38.603639093110566,rendőrség,23,saliency (bigram)
374,31.598903971650454,rendőrség,24,saliency (bigram)
375,15.566530407729642,pénzügyi,0,saliency (bigram)
376,12.673117968883282,pénzügyi,1,saliency (bigram)
377,17.221102463690045,pénzügyi,2,saliency (bigram)
378,19.609339979696887,pénzügyi,3,saliency (bigram)
379,57.5505666261682,pénzügyi,4,saliency (bigram)
380,20.949868320864883,pénzügyi,5,saliency (bigram)
381,49.798984832506626,pénzügyi,6,saliency (bigram)
382,20.739444896885797,pénzügyi,7,saliency (bigram)
383,8.105719141349827,pénzügyi,8,saliency (bigram)
384,10.804029719477525,pénzügyi,9,saliency (bigram)
385,24.740190104609905,pénzügyi,10,saliency (bigram)
386,175.32966220351182,pénzügyi,11,saliency (bigram)
387,23.65733032058958,pénzügyi,12,saliency (bigram)
388,22.85395406352239,pénzügyi,13,saliency (bigram)
389,25.256329892185356,pénzügyi,14,saliency (bigram)
390,63.513772833154,pénzügyi,15,saliency (bigram)
391,20.927450872246546,pénzügyi,16,saliency (bigram)
392,28.804872430533294,pénzügyi,17,saliency (bigram)
393,18.04096861204793,pénzügyi,18,saliency (bigram)
394,36.23754013372049,pénzügyi,19,saliency (bigram)
395,20.815082397626178,pénzügyi,20,saliency (bigram)
