source,target,value
origo hu,Szervezeti korrupció,2
jogi forum,Önkormányzati ingatlanmutyik,1
bama hu,Gyanús pénzmozgások,2
sonline,Sikkasztási gyanú,1
origo hu,Bróker ügyek nyomozása,1
444,Bróker ügyek nyomozása,4
inforadio,EU és külföldi multik,9
kreativ,Korrupciós ügyek felgöngyölítése,1
vs hu,Sikkasztási gyanú,7
inforadio,Átláthatatlan üzletek,4
magyar narancs,Vidéki ügyek,7
heti valasz,Bróker ügyek nyomozása,4
ingatlanmagazin com,Korrupciós ügyek felgöngyölítése,1
bors,Állam és pénzpiac összefonódása,1
blikk,Átláthatatlan üzletek,6
inforadio,Szervezeti korrupció,5
atv,Területi fejlesztések,1
klubradio online,Biznisz, céges ügyek,2
vilaggazdasag,Bróker ügyek nyomozása,3
blikk,Szabályozások,2
nepszava,Állami cégek piszkos ügyei,7
magyar hirlap,Bróker ügyek nyomozása,1
atlatszo hu,Közbeszerzés, pályáztatás,2
portfolio,EU és külföldi multik,1
magyar idok,Gyanús pénzmozgások,4
nol,Szabályozások,4
ma hu,Biznisz, céges ügyek,1
nepszava,Képviselői vagyonosodás,17
origo hu,Gyanús pénzmozgások,3
inforadio,Sikkasztási gyanú,2
magyar narancs,Hivatali visszaélés,2
dunantuli naplo,Törvények rugalmas kezelése,2
portfolio,Szabályozások,1
444,Önkormányzati ingatlanmutyik,5
bacs kiskun online,Hűtlen kezelés,1
szoljon,Gyanús pénzmozgások,2
valasz hu,Sikkasztási gyanú,1
bors,Sikkasztási gyanú,1
hir24,Állami cégek piszkos ügyei,4
fn hu,Támogatáselosztás, csalások,7
rtl klub,Törvények rugalmas kezelése,1
magyar narancs,Önkormányzati ingatlanmutyik,2
magyar idok,Törvényessé tett korrupció,2
inforadio,Korrupciós ügyek felgöngyölítése,5
vilaggazdasag,Képviselői vagyonosodás,4
direkt36,Vidéki ügyek,1
magyar idok,Közbeszerzés, pályáztatás,1
fn hu,Állami cégek piszkos ügyei,4
origo hu,Állam és pénzpiac összefonódása,1
bacs kiskun online,Korrupciós ügyek felgöngyölítése,3
sonline,Támogatáselosztás, csalások,1
444,Törvényessé tett korrupció,6
hvg,Szabályozások,6
hir24,Állam és pénzpiac összefonódása,8
hirextra,Törvényessé tett korrupció,1
magyar idok,Állam és pénzpiac összefonódása,4
pestisracok hu,Képviselői vagyonosodás,2
origo,Hűtlen kezelés,3
kitekinto,Átláthatatlan üzletek,1
pestisracok hu,Vidéki ügyek,1
magyar hirlap,EU és külföldi multik,1
beszelo,Szervezeti korrupció,1
fn hu,Hivatali visszaélés,1
vasarnapi hirek,Szervezeti korrupció,2
klubradio online,Korrupciós ügyek felgöngyölítése,1
blikk,Fejlesztési pénzek eltűntetése,3
magyar hirlap,Fejlesztési pénzek eltűntetése,2
fn hu,Bróker ügyek nyomozása,2
kisalfold,EU és külföldi multik,2
pestisracok hu,Átláthatatlan üzletek,1
inforadio,Képviselői vagyonosodás,5
magyar idok,Szabályozások,1
heti valasz,Szabályozások,3
vilaggazdasag,Közbeszerzés, pályáztatás,1
napi hu,Vidéki ügyek,4
direkt36,EU és külföldi multik,1
hir24,Sikkasztási gyanú,2
inforadio,Szabályozások,1
cink,Vidéki ügyek,1
nepszava,Hivatali visszaélés,1
vasarnapi hirek,EU és külföldi multik,1
mandiner,Törvények rugalmas kezelése,1
pestisracok hu,Korrupciós ügyek felgöngyölítése,2
hirextra,Törvények rugalmas kezelése,4
rtl klub,Biznisz, céges ügyek,1
komment hu,Korrupciós ügyek felgöngyölítése,2
hvg,Hivatali visszaélés,2
komment hu,Képviselői vagyonosodás,1
bacs kiskun online,EU és külföldi multik,3
vilaggazdasag,Fejlesztési pénzek eltűntetése,3
heti valasz,Átláthatatlan üzletek,4
fn hu,Korrupciós ügyek felgöngyölítése,3
bors,Fejlesztési pénzek eltűntetése,1
inforadio,Vidéki ügyek,4
origo hu,Állami cégek piszkos ügyei,1
atlatszo hu,Szabályozások,1
napi hu,Hivatali visszaélés,1
heti valasz,Fejlesztési pénzek eltűntetése,3
mandiner,Állam és pénzpiac összefonódása,1
totalcar,Biznisz, céges ügyek,1
kisalfold,Támogatáselosztás, csalások,1
nol,Civilek elleni hadjárat,1
origo,Közbeszerzés, pályáztatás,3
jogi forum,Gyanús pénzmozgások,4
teol,Biznisz, céges ügyek,1
bama hu,Képviselői vagyonosodás,1
romnet hu,Állam és pénzpiac összefonódása,1
atlatszo hu,Hűtlen kezelés,1
magyar hirlap,Törvények rugalmas kezelése,2
beol,Korrupciós ügyek felgöngyölítése,1
magyar idok,EU és külföldi multik,1
inforadio,Területi fejlesztések,1
atlatszo hu,Sikkasztási gyanú,3
propeller,EU és külföldi multik,1
heti valasz,Vidéki ügyek,2
sonline,Állam és pénzpiac összefonódása,1
bama hu,Támogatáselosztás, csalások,3
portfolio,Gyanús pénzmozgások,1
delmagyar,Sikkasztási gyanú,1
cink,Fejlesztési pénzek eltűntetése,2
magyar hirlap,Önkormányzati ingatlanmutyik,1
bacs kiskun online,Önkormányzati ingatlanmutyik,1
heti valasz,Szervezeti korrupció,5
hir24,Bróker ügyek nyomozása,2
jogi forum,Állami cégek piszkos ügyei,1
inforadio,Bróker ügyek nyomozása,2
pestisracok hu,Törvényessé tett korrupció,1
magyar hirlap,Vidéki ügyek,2
pestisracok hu,Törvények rugalmas kezelése,2
beol,Képviselői vagyonosodás,1
pecsi ujsag,Állam és pénzpiac összefonódása,1
fn hu,Szabályozások,1
privatbankar,Biznisz, céges ügyek,1
magyar idok,Vidéki ügyek,1
kisalfold,Biznisz, céges ügyek,1
beol,Törvények rugalmas kezelése,1
teol,Gyanús pénzmozgások,1
sonline,Állami cégek piszkos ügyei,1
vasarnapi hirek,Támogatáselosztás, csalások,1
klubradio online,Hűtlen kezelés,1
atlatszo hu,Önkormányzati ingatlanmutyik,3
elet es irodalom,Biznisz, céges ügyek,2
fn hu,Gyanús pénzmozgások,6
heol,Törvények rugalmas kezelése,1
nepszava,Hűtlen kezelés,2
uj szo szlovakia,Támogatáselosztás, csalások,1
magyar idok,Sikkasztási gyanú,1
napi hu,Szabályozások,4
elet es irodalom,Vidéki ügyek,1
abcug,Átláthatatlan üzletek,1
napi hu,Állami cégek piszkos ügyei,1
k monitor,Korrupciós ügyek felgöngyölítése,1
bors,Korrupciós ügyek felgöngyölítése,1
delmagyar,Biznisz, céges ügyek,2
bors,EU és külföldi multik,1
portfolio,Átláthatatlan üzletek,1
magyar idok,Képviselői vagyonosodás,2
tasz,Biznisz, céges ügyek,2
vs hu,Hivatali visszaélés,2
inforadio,Önkormányzati ingatlanmutyik,3
portfolio,Vidéki ügyek,1
mandiner,Biznisz, céges ügyek,1
komment hu,Állami cégek piszkos ügyei,1
heti valasz,Állami cégek piszkos ügyei,2
magyar hirlap,Korrupciós ügyek felgöngyölítése,1
blikk,Hűtlen kezelés,1
vs hu,Hűtlen kezelés,1
beol,Biznisz, céges ügyek,1
abcug,EU és külföldi multik,2
atlatszo oktatas,Hivatali visszaélés,1
portfolio,Biznisz, céges ügyek,2
vilaggazdasag,Szabályozások,3
vilaggazdasag,Civilek elleni hadjárat,1
kemma,Vidéki ügyek,1
teol,Szervezeti korrupció,1
nol,Hűtlen kezelés,3
bors,Vidéki ügyek,1
szabad fold,Biznisz, céges ügyek,1
magyar idok,Korrupciós ügyek felgöngyölítése,1
rtl klub,Fejlesztési pénzek eltűntetése,1
bacs kiskun online,Vidéki ügyek,1
nrg report,Állam és pénzpiac összefonódása,1
blikk,Sikkasztási gyanú,2
hirtv,Törvények rugalmas kezelése,1
kemma,Biznisz, céges ügyek,1
bama hu,Fejlesztési pénzek eltűntetése,1
kemma,Szervezeti korrupció,1
bama hu,Korrupciós ügyek felgöngyölítése,1
bacs kiskun online,Állam és pénzpiac összefonódása,2
hwsw,Biznisz, céges ügyek,1
ingatlanmagazin com,Vidéki ügyek,1
szoljon,Támogatáselosztás, csalások,1
klubradio online,Gyanús pénzmozgások,1
fn hu,Törvényessé tett korrupció,1
vasarnapi hirek,Állam és pénzpiac összefonódása,1
mmonline,Korrupciós ügyek felgöngyölítése,1
origo,Hivatali visszaélés,2
elet es irodalom,Szervezeti korrupció,1
jogi forum,Vidéki ügyek,1
abcug,Vidéki ügyek,1
valasz hu,Gyanús pénzmozgások,1
origo hu,Törvényessé tett korrupció,1
k monitor,EU és külföldi multik,1
tasz,Korrupciós ügyek felgöngyölítése,1
mandiner,Állami cégek piszkos ügyei,1
beszelo,Vidéki ügyek,1
pestisracok hu,Sikkasztási gyanú,1
vasarnapi hirek,Állami cégek piszkos ügyei,1
magyar hirlap,Állam és pénzpiac összefonódása,1
atlatszo oktatas,Bróker ügyek nyomozása,1
vasarnapi hirek,Bróker ügyek nyomozása,1
sonline,Biznisz, céges ügyek,1
magyar idok,Állami cégek piszkos ügyei,1
origo hu,EU és külföldi multik,2
beszelo,Állam és pénzpiac összefonódása,1
komment hu,Önkormányzati ingatlanmutyik,1
sonline,Törvények rugalmas kezelése,1
romnet hu,Képviselői vagyonosodás,1
pecsi ujsag,Támogatáselosztás, csalások,1
bama hu,Szervezeti korrupció,1
privatbankar,Vidéki ügyek,1
vasarnapi hirek,Gyanús pénzmozgások,1
cink,Szabályozások,1
agrarszektor hu,Állam és pénzpiac összefonódása,1
penzcentrum,Törvények rugalmas kezelése,1
beszelo,Törvények rugalmas kezelése,1
abcug,Állam és pénzpiac összefonódása,1
vs hu,Közbeszerzés, pályáztatás,1
inforadio,Hűtlen kezelés,1
portfolio,Fejlesztési pénzek eltűntetése,1
ma hu,Törvényessé tett korrupció,1
bacs kiskun online,Szervezeti korrupció,1
dunantuli naplo,Biznisz, céges ügyek,1
napi gazdasag,Törvények rugalmas kezelése,1
vilaggazdasag,Hűtlen kezelés,1
mfor hu,Képviselői vagyonosodás,1
beol,Önkormányzati ingatlanmutyik,1
klubradio online,Törvényessé tett korrupció,1
atlatszo hu,Területi fejlesztések,1
heol,Bróker ügyek nyomozása,1
168 ora,Fejlesztési pénzek eltűntetése,1
origo hu,Vidéki ügyek,1
k monitor,Szervezeti korrupció,1
bama hu,Állam és pénzpiac összefonódása,1
