,yield,gen,year,site
221,37.0108227366,csoport,0,frequency (bigram)
222,26.4466643447,csoport,1,frequency (bigram)
223,15.0004536382,csoport,2,frequency (bigram)
224,46.0863913076,csoport,3,frequency (bigram)
225,30.6804874599,csoport,4,frequency (bigram)
226,23.8210222525,csoport,5,frequency (bigram)
227,39.7622125297,csoport,6,frequency (bigram)
228,27.5833241476,csoport,7,frequency (bigram)
229,33.0185501219,csoport,8,frequency (bigram)
230,45.2853084583,csoport,9,frequency (bigram)
231,36.6795342131,csoport,10,frequency (bigram)
232,44.2514297496,csoport,11,frequency (bigram)
233,18.3658283222,csoport,12,frequency (bigram)
234,53.007697802,politikai,0,frequency (bigram)
235,39.5820936321,politikai,1,frequency (bigram)
236,70.0863520468,politikai,2,frequency (bigram)
237,24.0020810576,politikai,3,frequency (bigram)
238,43.6627719952,politikai,4,frequency (bigram)
239,77.8422921235,politikai,5,frequency (bigram)
240,36.6338784834,politikai,6,frequency (bigram)
241,52.1061771574,politikai,7,frequency (bigram)
242,38.9581879007,politikai,8,frequency (bigram)
243,24.8287803323,politikai,9,frequency (bigram)
244,43.8969894161,politikai,10,frequency (bigram)
245,39.321081082,politikai,11,frequency (bigram)
246,54.6223472628,politikai,12,frequency (bigram)
247,28.9713281523,kerítés,0,frequency (bigram)
248,33.7298198035,kerítés,1,frequency (bigram)
249,26.7989308493,kerítés,2,frequency (bigram)
250,44.9224695691,kerítés,3,frequency (bigram)
251,29.6747835535,kerítés,4,frequency (bigram)
252,25.5234375656,kerítés,5,frequency (bigram)
253,26.4529860603,kerítés,6,frequency (bigram)
254,32.8974347982,kerítés,7,frequency (bigram)
255,35.3488867538,kerítés,8,frequency (bigram)
256,57.5006514469,kerítés,9,frequency (bigram)
257,35.9285602028,kerítés,10,frequency (bigram)
258,84.7387256987,kerítés,11,frequency (bigram)
259,3.56401809521,kerítés,12,frequency (bigram)
260,58.0058941269,rendőr,0,frequency (bigram)
261,46.0455791028,rendőr,1,frequency (bigram)
262,20.0055853929,rendőr,2,frequency (bigram)
263,98.0728110346,rendőr,3,frequency (bigram)
264,46.8743903239,rendőr,4,frequency (bigram)
265,18.491419567,rendőr,5,frequency (bigram)
266,62.4903770057,rendőr,6,frequency (bigram)
267,32.1416522378,rendőr,7,frequency (bigram)
268,82.0154249748,rendőr,8,frequency (bigram)
269,92.4073237305,rendőr,9,frequency (bigram)
270,74.0347730806,rendőr,10,frequency (bigram)
271,85.9350271357,rendőr,11,frequency (bigram)
272,18.4830662746,rendőr,12,frequency (bigram)
273,39.8991730518,politikus,0,frequency (bigram)
274,37.5858940764,politikus,1,frequency (bigram)
275,41.3472295893,politikus,2,frequency (bigram)
276,35.9469298484,politikus,3,frequency (bigram)
277,37.1094626171,politikus,4,frequency (bigram)
278,39.3670976397,politikus,5,frequency (bigram)
279,26.1978929986,politikus,6,frequency (bigram)
280,40.8260343175,politikus,7,frequency (bigram)
281,46.4930074687,politikus,8,frequency (bigram)
282,30.5646510134,politikus,9,frequency (bigram)
283,43.0036684584,politikus,10,frequency (bigram)
284,32.1713415158,politikus,11,frequency (bigram)
285,38.0137677282,politikus,12,frequency (bigram)
286,25.3466149164,gyerek,0,frequency (bigram)
287,51.5420662705,gyerek,1,frequency (bigram)
288,13.0493485558,gyerek,2,frequency (bigram)
289,18.9775620175,gyerek,3,frequency (bigram)
290,28.9054834733,gyerek,4,frequency (bigram)
291,44.6637081976,gyerek,5,frequency (bigram)
292,19.071914318,gyerek,6,frequency (bigram)
293,26.625556382,gyerek,7,frequency (bigram)
294,26.2969215111,gyerek,8,frequency (bigram)
295,42.840679824,gyerek,9,frequency (bigram)
296,46.9508476156,gyerek,10,frequency (bigram)
297,38.308852775,gyerek,11,frequency (bigram)
298,34.2723467522,gyerek,12,frequency (bigram)
299,137.941341318,migráns,0,frequency (term)
300,152.569711512,migráns,1,frequency (term)
301,25.4399825387,migráns,2,frequency (term)
302,192.15676321,migráns,3,frequency (term)
303,102.13726826,migráns,4,frequency (term)
304,46.2302693494,migráns,5,frequency (term)
305,262.239787116,migráns,6,frequency (term)
306,96.3761076402,migráns,7,frequency (term)
307,145.001964959,migráns,8,frequency (term)
308,205.000694534,migráns,9,frequency (term)
309,61.5992472309,migráns,10,frequency (term)
310,130.681858849,migráns,11,frequency (term)
311,65.5558137828,migráns,12,frequency (term)
312,118.376005571,bevándorló,0,frequency (term)
313,164.795625677,bevándorló,1,frequency (term)
314,177.30550167,bevándorló,2,frequency (term)
315,151.504976753,bevándorló,3,frequency (term)
316,94.7018439285,bevándorló,4,frequency (term)
317,26.3874043639,bevándorló,5,frequency (term)
318,91.9391791825,bevándorló,6,frequency (term)
319,70.7654315998,bevándorló,7,frequency (term)
320,73.089834156,bevándorló,8,frequency (term)
321,159.348646826,bevándorló,9,frequency (term)
322,66.868998946,bevándorló,10,frequency (term)
323,174.207637686,bevándorló,11,frequency (term)
324,50.3044775647,bevándorló,12,frequency (term)
325,58.0058941269,rendőr,0,frequency (term)
326,46.0455791028,rendőr,1,frequency (term)
327,20.0055853929,rendőr,2,frequency (term)
328,98.0728110346,rendőr,3,frequency (term)
329,46.8743903239,rendőr,4,frequency (term)
330,18.491419567,rendőr,5,frequency (term)
331,62.4903770057,rendőr,6,frequency (term)
332,32.1416522378,rendőr,7,frequency (term)
333,82.0154249748,rendőr,8,frequency (term)
334,92.4073237305,rendőr,9,frequency (term)
335,74.0347730806,rendőr,10,frequency (term)
336,85.9350271357,rendőr,11,frequency (term)
337,18.4830662746,rendőr,12,frequency (term)
338,55.2601459651,elnök,0,frequency (term)
339,24.5611887709,elnök,1,frequency (term)
340,56.4320007135,elnök,2,frequency (term)
341,36.6566378265,elnök,3,frequency (term)
342,47.0163839263,elnök,4,frequency (term)
343,51.9380067198,elnök,5,frequency (term)
344,54.7784551133,elnök,6,frequency (term)
345,63.8296593739,elnök,7,frequency (term)
346,58.0983746696,elnök,8,frequency (term)
347,34.4310060197,elnök,9,frequency (term)
348,65.3528139798,elnök,10,frequency (term)
349,33.0366152931,elnök,11,frequency (term)
350,69.9007143585,elnök,12,frequency (term)
351,56.8136586176,illegális,0,frequency (term)
352,61.2767714597,illegális,1,frequency (term)
353,70.110270526,illegális,2,frequency (term)
354,89.6413640644,illegális,3,frequency (term)
355,52.856433574,illegális,4,frequency (term)
356,9.08718965513,illegális,5,frequency (term)
357,88.5650996722,illegális,6,frequency (term)
358,55.6196179364,illegális,7,frequency (term)
359,55.7796248407,illegális,8,frequency (term)
360,102.850237645,illegális,9,frequency (term)
361,35.6389049019,illegális,10,frequency (term)
362,98.8944730531,illegális,11,frequency (term)
363,30.1451332633,illegális,12,frequency (term)
364,53.037863762,miniszterelnök,0,frequency (term)
365,27.5252606749,miniszterelnök,1,frequency (term)
366,92.8303646528,miniszterelnök,2,frequency (term)
367,25.5471286849,miniszterelnök,3,frequency (term)
368,45.6056300748,miniszterelnök,4,frequency (term)
369,36.6870344346,miniszterelnök,5,frequency (term)
370,54.977875213,miniszterelnök,6,frequency (term)
371,62.1142797162,miniszterelnök,7,frequency (term)
372,56.5085345267,miniszterelnök,8,frequency (term)
373,51.2038026243,miniszterelnök,9,frequency (term)
374,47.9701236311,miniszterelnök,10,frequency (term)
375,45.6540850852,miniszterelnök,11,frequency (term)
376,41.4081784343,miniszterelnök,12,frequency (term)
377,53.5507285879,párt,0,frequency (term)
378,31.8045880807,párt,1,frequency (term)
379,72.216423588,párt,2,frequency (term)
380,47.057341674,párt,3,frequency (term)
381,43.5464534195,párt,4,frequency (term)
382,71.1522691157,párt,5,frequency (term)
383,30.367618371,párt,6,frequency (term)
384,55.4943393051,párt,7,frequency (term)
385,32.9136142786,párt,8,frequency (term)
386,20.8496877699,párt,9,frequency (term)
387,49.7545306808,párt,10,frequency (term)
388,35.9748645619,párt,11,frequency (term)
389,78.9703315022,párt,12,frequency (term)
390,53.007697802,politikai,0,frequency (term)
391,39.5820936321,politikai,1,frequency (term)
392,70.0863520468,politikai,2,frequency (term)
393,24.0020810576,politikai,3,frequency (term)
394,43.6627719952,politikai,4,frequency (term)
395,77.8422921235,politikai,5,frequency (term)
396,36.6338784834,politikai,6,frequency (term)
397,52.1061771574,politikai,7,frequency (term)
398,38.9581879007,politikai,8,frequency (term)
399,24.8287803323,politikai,9,frequency (term)
400,43.8969894161,politikai,10,frequency (term)
401,39.321081082,politikai,11,frequency (term)
402,54.6223472628,politikai,12,frequency (term)
403,63.9736416704,hatóság,0,frequency (term)
404,51.3112504398,hatóság,1,frequency (term)
405,23.6016995256,hatóság,2,frequency (term)
406,67.4940651888,hatóság,3,frequency (term)
407,47.3927725234,hatóság,4,frequency (term)
408,26.003641864,hatóság,5,frequency (term)
409,66.2300796101,hatóság,6,frequency (term)
410,42.6150280761,hatóság,7,frequency (term)
411,51.9042053175,hatóság,8,frequency (term)
412,84.7133329302,hatóság,9,frequency (term)
413,48.4145886335,hatóság,10,frequency (term)
414,56.0106624799,hatóság,11,frequency (term)
415,31.594337343,hatóság,12,frequency (term)
416,65.8148176304,menedékkérő,0,frequency (term)
417,60.0357331291,menedékkérő,1,frequency (term)
418,31.2972052406,menedékkérő,2,frequency (term)
419,69.4944073377,menedékkérő,3,frequency (term)
420,46.5271310059,menedékkérő,4,frequency (term)
421,34.1546260457,menedékkérő,5,frequency (term)
422,32.163773318,menedékkérő,6,frequency (term)
423,43.2303544561,menedékkérő,7,frequency (term)
424,54.6536219047,menedékkérő,8,frequency (term)
425,110.214990845,menedékkérő,9,frequency (term)
426,30.3072355762,menedékkérő,10,frequency (term)
427,65.1710413994,menedékkérő,11,frequency (term)
428,27.7643403015,menedékkérő,12,frequency (term)
429,57.7233750595,rendőrség,0,frequency (term)
430,38.0448137025,rendőrség,1,frequency (term)
431,18.0051773223,rendőrség,2,frequency (term)
432,83.7346684959,rendőrség,3,frequency (term)
433,40.9428184869,rendőrség,4,frequency (term)
434,13.2457750054,rendőrség,5,frequency (term)
435,50.3388781241,rendőrség,6,frequency (term)
436,43.7252059537,rendőrség,7,frequency (term)
437,56.8609237327,rendőrség,8,frequency (term)
438,68.208960254,rendőrség,9,frequency (term)
439,51.0343162795,rendőrség,10,frequency (term)
440,71.9393486563,rendőrség,11,frequency (term)
441,20.5385240564,rendőrség,12,frequency (term)
442,59.6774846242,bevándorlás,0,frequency (term)
443,75.8583323815,bevándorlás,1,frequency (term)
444,114.395121064,bevándorlás,2,frequency (term)
445,69.3538466944,bevándorlás,3,frequency (term)
446,46.2330453613,bevándorlás,4,frequency (term)
447,15.5148040971,bevándorlás,5,frequency (term)
448,49.1467551881,bevándorlás,6,frequency (term)
449,45.2215284032,bevándorlás,7,frequency (term)
450,31.5242320974,bevándorlás,8,frequency (term)
451,63.8472987543,bevándorlás,9,frequency (term)
452,30.6278941075,bevándorlás,10,frequency (term)
453,59.8368738235,bevándorlás,11,frequency (term)
454,26.1080683427,bevándorlás,12,frequency (term)
455,37.0774322704,állam,0,frequency (term)
456,52.8106357729,állam,1,frequency (term)
457,37.8178399766,állam,2,frequency (term)
458,30.7285694656,állam,3,frequency (term)
459,40.5417007267,állam,4,frequency (term)
460,52.7680012869,állam,5,frequency (term)
461,56.1246279943,állam,6,frequency (term)
462,45.1348407583,állam,7,frequency (term)
463,41.1169802171,állam,8,frequency (term)
464,37.9064349668,állam,9,frequency (term)
465,36.2279123166,állam,10,frequency (term)
466,41.0382124894,állam,11,frequency (term)
467,32.1672805546,állam,12,frequency (term)
468,32.365214882,osztrák,0,frequency (term)
469,44.161756584,osztrák,1,frequency (term)
470,10.6228727409,osztrák,2,frequency (term)
471,76.363524132,osztrák,3,frequency (term)
472,33.5091060938,osztrák,4,frequency (term)
473,13.5500315813,osztrák,5,frequency (term)
474,64.5043901375,osztrák,6,frequency (term)
475,21.0760348788,osztrák,7,frequency (term)
476,59.6638654201,osztrák,8,frequency (term)
477,48.0200226791,osztrák,9,frequency (term)
478,76.0314481963,osztrák,10,frequency (term)
479,30.3862120893,osztrák,11,frequency (term)
480,15.9461626589,osztrák,12,frequency (term)
481,39.8991730518,politikus,0,frequency (term)
482,37.5858940764,politikus,1,frequency (term)
483,41.3472295893,politikus,2,frequency (term)
484,35.9469298484,politikus,3,frequency (term)
485,37.1094626171,politikus,4,frequency (term)
486,39.3670976397,politikus,5,frequency (term)
487,26.1978929986,politikus,6,frequency (term)
488,40.8260343175,politikus,7,frequency (term)
489,46.4930074687,politikus,8,frequency (term)
490,30.5646510134,politikus,9,frequency (term)
491,43.0036684584,politikus,10,frequency (term)
492,32.1713415158,politikus,11,frequency (term)
493,38.0137677282,politikus,12,frequency (term)
494,42.3607915312,kapcsolat,0,frequency (term)
495,27.7846419657,kapcsolat,1,frequency (term)
496,29.5710469967,kapcsolat,2,frequency (term)
497,27.6562586416,kapcsolat,3,frequency (term)
498,34.6476597151,kapcsolat,4,frequency (term)
499,43.5497327208,kapcsolat,5,frequency (term)
500,30.979867146,kapcsolat,6,frequency (term)
501,43.0387210654,kapcsolat,7,frequency (term)
502,42.1598155416,kapcsolat,8,frequency (term)
503,27.6829387104,kapcsolat,9,frequency (term)
504,41.9320395602,kapcsolat,10,frequency (term)
505,33.9263133378,kapcsolat,11,frequency (term)
