source,target,value
C3: Flossenbürg,CX,1
C2: Mauthausen,C3: Melk,1
C2: Riese-Wüstegiersdorf,C3: Hildesheim,1
C2: Peterswaldau,CX,1
C2: Ravensbrück,CX,1
C2: Riese-Fürstenstein,C3: Flossenbürg,1
C2: Riese-Schotterwerk,C3: Riese-Dörnhau,1
C2: Riese-Wolfsberg,C3: Riese-Fürstenstein,1
C2: Riese-Wolfsberg,CX,1
C2: Salzwedel,CX,1
C3: Flossenbürg,C4: Kaufering,1
C2: St. Georgenthal,CX,1
C2: Waldlager bei Ampfing,CX,1
C3: Berga-Elster,CX,1
C3: Buchenwald,C4: Mittelbau-Dora,1
C3: Essen,C4: Buchenwald,1
C3: Essen,CX,1
C8: Hannover,C9: Bergen-Belsen,1
